Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"1539","74040",Apjae,압재,"8005201",36.238456999999997,127.372069999999994,"34"
"1540","74050",Apjae,압재,"8005199",36.234253000000002,127.373310000000004,"34"
"1541","81290",Aegyeong Research Institute,애경연구원,"8005662",36.392184999999998,127.350944999999996,"1"
"1542","82010",Aegyeong Research Institute,애경연구원,"8005757",36.392069999999997,127.351029999999994,"1"
"1543","34020",Yasil,야실,"8002179",36.249609999999997,127.330709999999996,"23"
"1544","34030",Yasil,야실,"8002178",36.249527000000000,127.330709999999996,"23"
"1545","14560",---,양구례마을,"8007243",36.405220000000000,127.491810000000001,61-1
"1546","14570",---,양구례마을,"8007242",36.405228000000001,127.491714000000002,61-1
"1547","5176",Yangsangyo(Bridge),양산교,"8005176",36.209049999999998,127.267849999999996,"21"
"1548","5177",Yangsangyo(Bridge),양산교,"8005177",36.208824000000000,127.267493999999999,"21"
"1549","40690",Yangsaeteogol,양새터골,"8002182",36.302788000000000,127.272149999999996,"42"
"1550","40700",Yangsaeteogol,양새터골,"8002181",36.302570000000003,127.272260000000003,"42"
"1551","61090",Yangjungji,양중지,"8005022",36.433585999999998,127.561149999999998,"63"
"1552","61100",Yangjungji,양중지,"8005021",36.433487000000000,127.561263999999994,"63"
"1553","61110",Yangji Park,양지공원,"8005023",36.433697000000002,127.564679999999996,"63"
"1554","61120",Yangji Park,양지공원,"8005024",36.433850000000000,127.564766000000006,"63"
"1555","34340",Eogokgyo(Bridge),어곡교,"8002192",36.224055999999997,127.302895000000007,"21, 24"
"1556","34350",Eogokgyo(Bridge),어곡교,"8002193",36.224049999999998,127.303060000000002,"21, 24"
"1557","23010",Eonam-dong,어남동,"8002194",36.212989999999998,127.412440000000004,"32"
"1558","23020",Eonam Terminal,어남동,"8002199",36.212913999999998,127.412469999999999,"32"
"1559","21140",Eodeok Village Terminal,어덕마을종점,"8005569",36.333030000000001,127.401725999999996,"614"
"1561","35240",---,어반힐스아파트,"8007284",36.293922000000002,127.343345999999997,"203, 212"
"1562","61030",Eobu-dong,어부동,"8005026",36.430103000000003,127.539019999999994,"63"
"1563","61040",Eobu-dong,어부동,"8005025",36.430008000000001,127.539079999999998,"63"
"1564","41900",Yangji Village,어울림하트 12단지,"8002184",36.332397000000000,127.343950000000007,"115, 213, 601, 603"
"1565","10550",Chisu 2(e)-gyo(Bridge),어진마을아파트,"8002572",36.320877000000003,127.443820000000002,"512, 604, 612, 619"
"1566","41070",Yeong Gogae(Ridge),엉고개,"8002213",36.276100000000000,127.293499999999995,"2002, 202, 42, 43, 45, 46, 47, 47-1"
"1567","46260",---,에이팩,"8007181",36.403990000000000,127.375910000000005,"301, 5"
"1568","46270",---,에이팩,"8007182",36.404690000000002,127.376689999999996,"301, 5"
"1569","11090",Yongun Jugong Apts.1,에코포레아파트,"8002308",36.330399999999997,127.463134999999994,"603"
"1570","11140",Bogeum Apts.,에코포레아파트,"8001760",36.328133000000001,127.466380000000001,"603, 608, 61-1, 61-2, 62, 66"
"1571","46290",---,에코힐7단지,"8007208",36.382022999999997,127.305920000000000,"1002, 114"
"1572","43210",EXPO Science Park,엑스포과학공원,"8002203",36.377209999999998,127.378889999999998,"301, 318, 5, 606, 918"
