,ARO_BUSSTOP_ID,BUSSTOP_ENG_NM,BUSSTOP_NM,BUS_NODE_ID,GPS_LATI,GPS_LONG,ROUTE_NO
597,['75630'],['---'],['대평리종점'],['8007261'],['36.46936'],['127.280876'],[' 75']
598,['50690'],['Korea Express Corporation'],['대한통운'],['8001453'],['36.380363'],['127.4237'],"[' 316, 512, 616, 703']"
599,['50700'],['Korea Express Corporation'],['대한통운'],['8001454'],['36.380547'],['127.42456'],"[' 316, 512, 616, 703, 74']"
600,"['50710', '50710']","['Korea Express Corporation Terminal', 'Korea Express Corporation Terminal']","['대한통운종점', '대한통운종점']","['8001455', '9001455']","['36.38353', '36.383934']","['127.42562', '127.42528']","[' 316, 512, 614, 615, 620, 706, 74, 701, 703, 706, 711, 74', ' 316, 512, 614, 615, 620, 706, 74']"
601,['45910'],['Korea Institute of Aerospace Technology'],['대한항공기술연구원'],['8003124'],['36.40287'],['127.38908'],[' 918']
602,['45920'],['Korea Institute of Aerospace Technology'],['대한항공기술연구원'],['8003123'],['36.40275'],['127.38879'],[' 918']
603,['50270'],['Daehwa-dong Gogae(Ridge)'],['대화동고개'],['8001457'],['36.3608'],['127.41745'],[' 512']
604,['50570'],['Daehwa-dong Overpass'],['대화동육교'],['8001458'],['36.365498'],['127.419075'],"[' 512, 703, 802']"
605,['50580'],['Daehwa-dong Overpass'],['대화동육교'],['8001560'],['36.36611'],['127.418945'],"[' 316, 512, 616, 703, 802']"
606,['50480'],['Daehwa-dong Community Center'],['대화동행정복지센터'],['8001459'],['36.367245'],['127.4111'],"[' 316, 616']"
607,['50530'],['Daehwa-dong Community Center'],['대화동행정복지센터'],['8001460'],['36.367264'],['127.411964'],"[' 316, 616']"
608,['20750'],['Daeheung Negeori(Intersection)'],['대흥네거리'],['8001461'],['36.323833'],['127.426285'],"[' 33-1, 33-2, 513, 612']"
609,['20770'],['Daeheung Negeori(Intersection)'],['대흥네거리'],['8001462'],['36.32383'],['127.42715'],"[' 30, 33-1, 33-2, 513']"
610,['20760'],['Daeheung Catholic Church'],['대흥동성당'],['8001464'],['36.327034'],['127.42663'],"[' 31, 604, 612, 711, 802']"
611,['20780'],['Daeheung Catholic Church'],['대흥동성당'],['8001463'],['36.326145'],['127.427505'],"[' 604, 612, 701, 711, 802']"
612,['20810'],['Oriental Hospital of Daejeon University'],['대흥동우체국'],['8001385'],['36.325264'],['127.43058'],"[' 33-1, 33-2, 52, 711, 802']"
613,['20820'],['Oriental Hospital of Daejeon University'],['대흥동우체국'],['8001386'],['36.325344'],['127.431816'],"[' 30, 31, 33-1, 33-2, 52, 711, 802']"
614,['72460'],['---'],['덕곡리'],['8007426'],['36.17086'],['127.297935'],[' 21']
615,['72470'],['---'],['덕곡리'],['8007427'],['36.170826'],['127.29801'],[' 21']
616,['72480'],['---'],['덕곡삼거리'],['8007428'],['36.166695'],['127.29922'],[' 21']
617,['72490'],['---'],['덕곡삼거리'],['8007429'],['36.166775'],['127.2993'],[' 21']
618,['41400'],['Hanbat National University Entrance'],['덕명네거리'],['8002923'],['36.36027'],['127.30627'],"[' 102, 103, 104, 107, 11, 113, 48']"
619,['41410'],['Hanbat National University Entrance'],['덕명네거리'],['8002922'],['36.35952'],['127.30905'],"[' 102, 103, 104, 107, 11, 113, 48']"
620,['45820'],['Deokmyeong Middle School'],['덕명중학교'],['8070045'],['36.34608'],['127.301254'],"[' 113, 117']"
621,['45830'],['Deokmyeong Middle School'],['덕명중학교'],['8070046'],['36.34625'],['127.30137'],"[' 113, 117']"
622,['52090'],['Deogam-dong'],['덕암동'],['8001475'],['36.445084'],['127.42397'],"[' 701, 705, 712, 72-1']"
623,['52330'],['Deogam-dong'],['덕암동주민센터'],['8001473'],['36.438553'],['127.4265'],"[' 2, 703, 705, 711']"
624,['52340'],['Deogam-dong'],['덕암동주민센터'],['8001474'],['36.4379'],['127.42651'],"[' 2, 703, 705, 711']"
625,['52050'],['Deogam Post Office'],['덕암우체국'],['8001477'],['36.43462'],['127.42183'],"[' 701, 705, 712']"
626,['52240'],['Deogam Post Office'],['덕암우체국'],['8001476'],['36.434155'],['127.42192'],"[' 701, 705, 712']"
627,['46120'],['---'],['도로교통공단'],['8007155'],['36.33241'],['127.334694'],"[' 11, 601']"
628,['46130'],['---'],['도로교통공단'],['8007156'],['36.332092'],['127.33451'],"[' 11, 601']"
629,['22990'],['Dorimoe'],['도리뫼'],['8001480'],['36.2329'],['127.407585'],[' 32']
630,['23000'],['Dorimoe'],['도리뫼'],['8001481'],['36.232903'],['127.407745'],[' 32']
631,['30700'],['Doma Market'],['도마1동행정복지센터'],['8001494'],['36.31471'],['127.37915'],"[' 113, 119, 211, 312, 619, 703']"
632,['30710'],['Doma Market'],['도마1동행정복지센터'],['8001491'],['36.31539'],['127.379196'],"[' 113, 119, 211, 312, 619, 703']"
633,['30600'],['Jeil Middle&High School'],['도마2동주민센터'],['8002581'],['36.312424'],['127.37409'],[' 613']
634,['30780'],['Domagyo(Bridge)'],['도마교'],['8001483'],['36.311592'],['127.3839'],"[' 115, 312, 615, 619']"
635,['30790'],['Domagyo(Bridge)'],['도마교'],['8001482'],['36.31159'],['127.383316'],"[' 115, 312, 608, 615, 619']"
636,['30720'],['Doma Negeori(Intersection )'],['도마네거리'],['8001488'],['36.312645'],['127.38083'],"[' 115, 312, 608, 615, 619']"
