법정동,BUS_ID,BUS_NN,탑승,하차,환승,BUS_NODE_I,GPS_LATI(위도),GPS_LONG(경도),ROUTE_NO
동구 용전동,11840,대전문학관입구,9791,10492,939,8002987,36.355103,127.436966,"605, 611, 701"
동구 용전동,11850,대전문학관입구,11585,5495,857,8002986,36.35508,127.437546,"605, 611, 701"
동구 용전동,11740,대전지방국토관리청,19564,15084,750,8002316,36.35224,127.4322,"102, 615, 802"
동구 용전동,11780,대전지방국토관리청,428,7765,14,8002317,36.35209,127.43263,"102, 615, 802"
동구 용전동,11870,동부네거리,96068,83727,33252,8001534,36.35043,127.43968,"102, 105, 106, 201, 501, 601, 602, 607, 611, 616, 622, 701, 802"
동구 용전동,11830,복합터미널,343607,152819,67921,8001096,36.349014,127.43567,"102, 105, 106, 2, 201, 501, 601, 602, 607, 611, 616, 622, 701, 802"
동구 용전동,11730,용전네거리,18211,14536,1424,8002310,36.349922,127.43197,"102, 615, 802"
동구 용전동,11760,용전네거리,22129,18706,2398,8002311,36.350033,127.43247,"102, 615, 802"
동구 용전동,11750,용전동주민센터,13888,9723,2498,8002315,36.358025,127.43249,"102, 615, 802"
동구 용전동,11800,용전동주민센터,1010,3476,108,8002314,36.357227,127.43301,615
동구 용전동,11770,용전초등학교입구,15581,10681,915,8002313,36.3551,127.43244,"102, 615, 802"
동구 용전동,11790,용전초등학교입구,36010,17368,1491,8002312,36.355015,127.43293,"102, 615, 802"
동구 용전동,11810,한국전력공사,30565,27835,6059,8002880,36.357193,127.43447,"2, 605, 611, 701"
동구 용전동,11820,한국전력공사,28036,23903,5871,8002881,36.357525,127.4347,"2, 605, 611, 701"
동구 용전동,11720,한숲아파트,10156,18357,404,8002946,36.35473,127.427666,"314, 711"
동구 용전동,11860,홈플러스동대전점,7443,7737,663,8001921,36.353367,127.43958,"605, 611, 701"
동구 성남동,12010,복합터미널,242280,376350,102222,8001097,36.349037,127.437195,"102, 105, 106, 2, 201, 501, 601, 602, 607, 611, 616, 622, 701, 802"
동구 성남동,12020,석촌마을아파트,15131,10069,579,8001038,36.34193,127.43802,"605, 613, 620, 802"
동구 성남동,11970,성남네거리,58788,24810,9770,8001994,36.34042,127.43501,"101, 2, 2002, 201, 202, 317, 501, 60, 611, 613, 620, 622, 63, 802"
동구 성남동,11980,성남네거리,28625,33296,8026,8001996,36.3417,127.43559,"2, 201, 501, 611, 615, 616, 622, 701"
동구 성남동,11990,성남네거리,7111,9624,1173,8001993,36.340137,127.43618,"2002, 202, 317, 60, 605, 615, 616, 63, 701"
동구 성남동,11960,스마트뷰아파트,26212,10185,1338,8001992,36.343735,127.43398,"201, 501, 611, 615, 616, 622, 701"
동구 성남동,11930,홍도지하차도,6176,22145,733,8002994,36.34603,127.43053,"105, 106, 601, 602, 607"
동구 성남동,11940,효촌마을아파트,24399,7798,4555,8002309,36.346275,127.43249,"201, 501, 611, 615, 616, 622, 701"
동구 성남동,11950,효촌마을아파트,12310,30026,2170,8003022,36.34516,127.43355,"201, 501, 611, 615, 616, 622, 701"
동구 홍도동,14710,동산지하차도,8176,5127,1022,8007370,36.345478,127.42164,"602, 607"
동구 홍도동,14720,동산지하차도,5944,8929,1048,8007369,36.34561,127.422134,"602, 607"
동구 홍도동,12130,아리랑프라자,2199,4419,55,8002158,36.34827,127.429344,105
동구 홍도동,12150,아리랑프라자,9018,3177,274,8002157,36.34771,127.42996,105
